Date;IHSG
01/01/2018;6366.083008
01/08/2018;6354.361816
01/15/2018;6379.073242
01/22/2018;6495.383789
01/29/2018;6672.990234
02/05/2018;6556.679199
02/12/2018;6508.051758
02/19/2018;6610.73291
02/26/2018;6615.374023
03/05/2018;6594.516113
03/12/2018;6459.320801
03/19/2018;6315.332031
03/26/2018;6178.728027
04/02/2018;6194.513184
04/09/2018;6179.380859
04/16/2018;6279.632813
04/23/2018;6328.645996
04/30/2018;5937.075195
05/07/2018;5814.956055
05/14/2018;5933.460938
05/21/2018;5779.242188
05/28/2018;5979.620117
06/04/2018;6004.119141
06/11/2018;5972.956543
06/18/2018;5941.793945
06/25/2018;5850.313965
07/02/2018;5828.495117
07/09/2018;5719.856934
07/16/2018;5941.912109
07/23/2018;5886.516113
07/30/2018;5998.097168
08/06/2018;6025.606934
08/13/2018;6029.469238
08/20/2018;5833.539063
08/27/2018;5993.763184
09/03/2018;6025.411133
09/10/2018;5835.375977
09/17/2018;5908.425781
09/24/2018;5958.567871
10/01/2018;5950.85791
10/08/2018;5728.698242
10/15/2018;5786.664063
10/22/2018;5841.418945
10/29/2018;5788.924805
11/05/2018;5895.243164
11/12/2018;5865.741211
11/19/2018;6028.336914
11/26/2018;5997.73291
12/03/2018;6118.063965
12/10/2018;6103.097168
12/17/2018;6163.62793
12/24/2018;6126.652832
12/31/2018;6197.871094
01/07/2019;6317.625977
01/14/2019;6351.329102
01/21/2019;6448.536133
01/28/2019;6488.901855
02/04/2019;6540.773926
02/11/2019;6523.702148
02/18/2019;6428.275879
02/25/2019;6522.310059
03/04/2019;6508.26416
03/11/2019;6418.882813
03/18/2019;6481.592773
03/25/2019;6473.855957
04/01/2019;6485.721191
04/08/2019;6480.184082
04/15/2019;6426.904785
04/22/2019;6511.085938
04/29/2019;6388.381836
05/06/2019;6254.811035
05/13/2019;6225.39502
05/20/2019;5822.474121
05/27/2019;6056.414063
06/03/2019;6166.853516
06/10/2019;6277.292969
06/17/2019;6259.535156
06/24/2019;6307.926758
07/01/2019;6381.181152
07/08/2019;6360.213867
07/15/2019;6408.308105
07/22/2019;6461.411133
07/29/2019;6336.845215
08/05/2019;6311.164063
08/12/2019;6300.672852
08/19/2019;6310.632813
08/26/2019;6193.230957
09/02/2019;6331.147949
09/09/2019;6328.282227
